,Event,Category
2022-01-27,The Northeast experiences a major blizzard which stretches from Delaware to Nova Scotia.,Weather
2022-02-01,"February 2022 North American winter storm: A major winter storm, known colloquially as Winter Storm Landon or the Groundhog Snowstorm, affects much of the eastern and Midwest from Texas to Maine, with Alabama receiving concurrent tornadoes as well.",Weather
2022-02-03,"The share price of Meta falls by 26.4%, with Facebook losing $230bn in its market value, the biggest one-day loss in history for a US company. This follows an earnings report showing the company's first ever drop in daily user numbers.",Economic
2022-02-24,"President Biden announces new, stronger sanctions that will 'impose severe cost on the Russian economy, both immediately and over time.' He condemns President Vladimir Putin's invasion of Ukraine, calling him an 'aggressor'.",Political
2022-02-26,President Biden signs an order to provide $600 million of military assistance to Ukraine.,Political
2022-03-11,"According to the CDC, United States declared the end of COVID-19 pandemic after two years of serious outbreak, for example: lifted all restrictions up and then the country's transition to the endemic phase from Deltacron hybrid variant.",Health
2022-04-07,"The Senate unanimously passes legislation to ban imports of oil, gas, and coal from Russia.",Political
2022-04-25,"After weeks of speculation, Elon Musk proposes to acquire social media website Twitter for $44 billion.",Economic
2022-05-02,"A bombshell report by Politico leaks the Supreme Court's draft opinion for Dobbs v. Jackson Women's Health Organization. In the opinion, Associate Justice Samuel Alito writes a majority opinion overturning the landmark decisions in the cases of both Roe v. Wade and Planned Parenthood v. Casey, which would thereby remove constitutional protections for abortion access.",Political
2022-05-14,"Across the country, in response to the Dobbs v. Jackson draft opinion leak, thousands of people protest in defense of abortion rights.",Social
2022-05-17,"The House of Representatives holds a hearing on UFOs, the first such hearing in over fifty years.",Political
2022-05-24,"In one of the deadliest school shootings in American history, nineteen children and two adults are killed in a shooting at Robb Elementary School in Uvalde, Texas. The 18-year-old shooter is killed at the scene in a shootout with police.",Violence
2022-05-26,"In response to the Robb Elementary School shooting, students around the country walk out of classes to protest inaction over gun violence on the part of the government.",Social
2022-05-27,The Forest Service admits that it started the two forest fires that escalated into the largest wildfire in New Mexico state history. Governor Michelle Lujan Grisham is subsequently compelled to demand the federal government to take full responsibility for the disaster.,Environmental
2022-06-10,COVID-19 pandemic: Biden administration announces that America has lifted COVID-19 testing restrictions for international travel.,Health
2022-06-20,President Biden calls on Congress to pass a three-month-long gas and diesel tax holiday as a proposal to lower the cost of fuel.,Economic
2022-06-23,"The Senate passes the Bipartisan Safer Communities Act, the first major gun reform legislation in decades.",Political
2022-06-24,"The Supreme Court rules that the Constitution does not confer a right to abortion, thus overruling the 1973 case Roe v. Wade, and its related 1992 case Planned Parenthood v. Casey. Protests erupt across nearly every major city in the United States.",Political
2022-06-30,The Supreme Court rules that the Environmental Protection Agency is limited in its capacity to regulate power plants' carbon emissions under federal law.,Political
2022-07-10,President Biden says that he is considering the declaration of a public health emergency over the lack of access to abortion and weighing the possibility of funding by the federal government in response to the earlier decision of the Supreme Court on the matter.,Political
2022-07-11,The first image from the James Webb Space Telescope is published by NASA.,Science
2022-07-13,Inflation rises to a record 9.1 percent.,Economic
2022-07-18,"The trial of former White House Chief Strategist Steve Bannon begins. Bannon faces criminal charges for contempt of Congress after defying the January 6 committee, which is investigating the 2021 United States Capitol attack.",Political
2022-07-19,"The House passes the Respect for Marriage Act, which federally protects discrimination against LGBT individuals in what is widely seen as a defensive measure against Supreme Court justice Clarence Thomas questioning the legitimacy of Obergefell v. Hodges in his concurring opinion to Dobbs v. Jackson. Forty-seven Republicans joined the unanimous Democrat caucus.",Political
2022-07-21,"The House votes to codify federal access to contraception, with eight Republicans supporting the measure.",Political
2022-07-22,Steve Bannon is found guilty of contempt of Congress after defying subpoenas by the January 6 committee. The guilty verdict is the first successfully prosecuted case of contempt of Congress since the Watergate scandal.,Political
2022-07-24,The July–August 2022 United States floods begin.,Environmental
2022-07-27,"The Federal Reserve raises interest rates by 0.75% for the second time in a row, in an attempt to combat a historic inflation surge. The Dow Jones, S&P, and Nasdaq Composite all close higher this day.",Economic
2022-08-01,"2022 monkeypox outbreak: California and Illinois declare a state of emergency over the monkeypox outbreak, following New York the previous week.",Health
2022-08-02,"Taiwan–United States relations – House Speaker Nancy Pelosi becomes the highest-ranking U.S. official in the last 25 years to visit Taiwan, despite warnings from both China and Biden of rising tensions.",Political
2022-08-04,The US declares a national health emergency over the 2022 monkeypox outbreak.,Health
2022-08-07,The Senate passes the Inflation Reduction Act of 2022 in a 51–50 vote with Vice-President Kamala Harris breaking the tie for its passage. Biden signs the bill into law later in the month.,Political
2022-08-08,"FBI search of Mar-a-Lago: The FBI executes a search warrant on Mar-a-Lago, the Florida home of former President Donald Trump, seeking boxes of classified documents that Trump allegedly took from the White House.",Political
2022-08-10,The national average gas price has dropped below $4 per US gallon for the first time since March.,Economic
2022-08-12,"FBI search of Mar-a-Lago: The Department of Justice wins its bid to unseal the search warrant against Donald Trump, revealing that the former president had stored documents regarding nuclear weapons at Mar-a-Lago, which prompts the Justice Department to place him under investigation for alleged violations of federal statutes such as the Espionage Act of 1917 and the Presidential Records Act of 1978.",Political
2022-08-13,The Great Lakes Water Authority issues an advisory in Michigan for people to boil their drinking water after a crack opens in a critical pipe. Nearly one million people across twenty-three communities are affected.,Environmental
2022-08-24,"President Biden announces that he will cancel US$10,000 in student loans for all borrowers who earn under $125,000 per year, and an additional $10,000 for those who received Pell Grants.",Economic
2022-09-06,"The Mosquito Fire, California's largest wildfire this season, ignites, destroying 78 buildings. Pacific Gas and Electric is currently under a criminal investigation by the Forest Service and subject to various civil suits.",Environmental
2022-09-08,Queen Elizabeth II dies.,Historical
2022-09-14,Mortgage loans hit a nationwide average interest rate of 6% for the first time since 2008.,Economic
2022-09-21,The Federal Reserve hikes interest rates for the third time by 0.75% to combat the ongoing inflation surge.,Economic
2022-09-28,"Hurricane Ian makes landfall in Florida, directly hitting the Fort Myers area as a Category 4 storm on the Saffir–Simpson scale. Florida's Sanibel and Pine Islands are cut off from the mainland, and Ian becomes the deadliest hurricane to hit the state since 1935 and the country since 2005's Hurricane Katrina.",Weather
2022-10-06,President Biden pardons all federal offenses of simple marijuana possession.,Political
2022-10-11,"NASA confirms that the Double Asteroid Redirection Test (DART) mission was successful in its ultimate goal. Dimorphos was knocked out of its orbit by thirty-two minutes, much more than the ten minutes that the space agency anticipated.",Science
2022-10-13,"The Social Security Administration announces an 8.1% cost of living adjustment to begin in 2023, citing ongoing inflation. It is the largest increase since 1981.",Economic
2022-10-27,Elon Musk completes his $44 billion acquisition of Twitter.,Economic
2022-11-28,"Mauna Loa erupts continuously, its first in 38 years.",Environmental
2022-12-07,An oil leak in the Keystone Pipeline shuts down the pipeline.,Environmental
2022-12-12,Bankruptcy of FTX: The US files criminal charges against Sam Bankman-Fried; he is subsequently arrested in The Bahamas and due to be extradited.,Economic
2022-12-13,"President Biden signs the Respect for Marriage Act, which federally protects same-sex and interracial marriages by requiring states to recognize each other's marriage standards.",Political
2022-12-14,The Federal Reserve raises interest rates by 0.5 percentage points. The new federal funds rate is at 4.4%.,Economic
2022-12-21,"A major winter storm hits much of the Midwest and northeast. Fifty are killed across the country, and another nine are killed in Canada.",Weather
2023-01-11,"FAA system outage: For the first time since 9/11, the Federal Aviation Administration issues a nationwide ground stop following the failure of the FAA's NOTAM system.",Transportation
2023-01-21,"A mass shooting occurs at a dance studio in Monterey Park, California, after a Lunar New Year celebration. Eleven people are killed, and nine more are injured; the perpetrator commits suicide the following day.",Violence
2023-01-31,A massive ice storm over the Southern United States kills 10 people.,Weather
2023-02-01,The Federal Reserve raises interest rates by 0.25 percent from 4.5 percent to 4.75 percent.,Economic
2023-02-04,The suspected Chinese spy balloon is shot down by a missile off the coast of South Carolina.,Military
2023-02-07,President Biden gives his second official State of the Union Address to Congress.,Political
2023-02-21,"A massive winter storm causes extreme wind and rain on the West Coast of the United States, while bringing extreme blizzard conditions to the Midwest and Northeast.",Weather
2023-03-10,"In the largest bank failure since the 2007–2008 financial crisis, Silicon Valley Bank, with $212 billion in assets, becomes the second bank to fail this month after it is shuttered by regulators after a bank run leads to its collapse.",Economic
2023-03-22,The Federal Reserve raises interest rates by 0.25 percent from 4.75 percent to 5 percent.,Economic
2023-03-24,"A tornado outbreak kills at least 26 people in Mississippi and Alabama. This includes a violent tornado which devastated the city of Rolling Fork and the town of Silver City in Mississippi, killing 16 people and injuring 165 others.",Weather
2023-03-31,At least 32 people are killed in a series of tornado outbreaks in the south and midwest.,Weather
2023-04-14,Montana becomes the first state to pass legislation banning TikTok on all personal devices from operating within state lines and barring app stores from offering TikTok for downloads.,Political
2023-04-22,"The Supreme Court rules that pending trial, mifepristone can remain on US markets. The decision is seen as a victory for the national abortion-rights movement.",Judicial
2023-04-25,President Biden formally announces his campaign for reelection in the 2024 United States presidential election.,Political
2023-05-02,The 2023 Writers Guild of America strike begins due to unsuccessful pay raise negotiations. The strike halts the production of most movies and TV shows.,Labor
2023-05-03,The Federal Reserve raises interest rates by 0.25 percent from 5 percent to 5.25 percent.,Economic
2023-05-06,"Nine people are killed, including the perpetrator, after a mass shooting at a mall in Allen, Texas.",Violence
2023-05-11,U.S. President Biden formally ends the declaration of COVID-19 pandemic in the country as a public health emergency.,Health
2023-05-27,2023 United States debt-ceiling crisis: House Republicans and the White House reach a deal to raise the debt ceiling and prevent the United States from defaulting.,Economic
2023-05-30,"Nvidia becomes the first chipmaker valued at over $1 trillion, amid the ongoing AI boom.",Economic
2023-06-03,2023 United States debt-ceiling crisis: Biden signs the Fiscal Responsibility Act of 2023 into law in an effort to prevent the United States from entering a debt ceiling default.,Economic
2023-06-06,Wildfires in Quebec cause the air quality to deteriorate in the Northeast and part of the Midwest. Millions of Americans and Canadians are advised to wear N95 masks.,Environmental
2023-06-18,"An underwater submersible called Titan goes missing during a dive to visit the wreck site of the RMS Titanic with five people aboard. Four days later, a portion of the hull is discovered as a part of an American search-and-rescue operation, confirming the loss of the vessel as well as all five passengers on board.",Accident
2023-06-20,A series of tornado outbreaks across the United States kills eight people and injures over 126 others. This included a historic tornado outbreak on June 21 in Colorado.,Weather
2023-06-27,The Supreme Court rules in a 7–2 decision that prosecutors must prove true threats be either reckless or made with subjective intention in order to convict.,Judicial
2023-06-30,The Supreme Court rules in a 6–3 decision that the First Amendment prohibits states from forcing website designers to create designs they disagree with. The decision is seen as a victory for religious conservatives and free speech advocates but a setback for LGBT+ rights.,Judicial
2023-07-06,Treasury Secretary Janet Yellen visits Beijing with the intent to reduce tensions in Chinese American relations.,Diplomacy
2023-07-09,A series of destructive floods strike the Northeast after a heavy rainstorm.,Weather
2023-07-21,"Warner Bros.' Barbie and Universal's Oppenheimer are both released, causing the Barbenheimer cultural phenomenon, which encouraged moviegoers to see both films as a double feature. The two movies end up being the highest and third highest grossing movies of the year, respectively.",Cultural
2023-08-08,"Wildfires caused by high winds from Hurricane Dora strike the island of Maui in Hawaii, almost completely destroying the town of Lahaina.",Environmental
2023-08-09,"Taylor Swift completes the first U.S. leg of The Eras Tour at SoFi Stadium in Los Angeles, which has had a wide impact on the United States economy and culture.",Cultural
2023-08-20,"Hurricane Hilary makes landfall in Southern California causing widespread flooding and thousands of power outages, making it the first major tropical storm to impact the region and the first to strike California since 1939.",Weather
2023-08-30,"Hurricane Idalia makes landfall at 7:45am EDT with 125 mph winds near Keaton Beach, Florida. It is the first major hurricane on record to impact the Big Bend of Florida.",Weather
2023-09-14,"Hunter Biden, son of President Biden, is indicted on federal gun charges.",Political
2023-09-20,The national debt rises to $33 trillion.,Economic
2023-09-27,The FTC and 17 states file an antitrust suit against Amazon for monopolistic practices.,Legal
2023-10-07,Israel - Hamas war starts.,Military
2023-10-14,An annular solar eclipse takes place across the Southwestern United States.,Astronomical
2023-10-18,"The U.S. Treasury Department announces an ease of certain oil, gas, and gold sanctions on Venezuela following the Venezuelan government and opposition's agreement to conduct elections.",Diplomacy
2023-10-25,"A mass shooting occurs in Lewiston, Maine, killing at least 18 and injuring a further 13 in the deadliest mass shooting of the year so far.",Violence
2023-11-02,United States v. Bankman-Fried – FTX founder Sam Bankman-Fried is convicted by a jury on all seven fraud-related counts.,Legal
2023-11-04,"2023 Israel–Hamas war protests in the United States – The National March on Washington: Free Palestine takes place at the National Mall and attracts between 100,000 to 300,000 participants with the goal of reaching a ceasefire in Gaza amid the ongoing conflict.",Protest
2023-11-09,SAG-AFTRA ends its strike at 12:01 a.m. PDT following a tentative deal reached the day prior.,Labor
2023-11-14,"2023 Israel–Hamas war protests in the United States – The March for Israel rally takes place at the National Mall in Washington, D.C. to support Israel amid its war against Hamas, to call for the release of hostages held by Hamas, and to combat rising antisemitism. The rally attracts 290,000 people in person and 250,000 people through livestream.",Protest
2023-11-17,"Sam Altman, the founder and CEO of ChatGPT developer OpenAI, is fired by OpenAI's board for reportedly lying to its board of directors, though reinstated five days later after OpenAI investor Microsoft announces its intention to hire Altman as well as OpenAI cofounder Greg Brockman after the latter's resignation in protest of the board.",Business
2023-11-27,"2023 Israel–Hamas war hostage crisis – A deal brokered by the US, Egypt and Qatar, sees the release of 50 Hamas-held hostages, including American citizens, held in Gaza.",National Security
2024-01-03,Documents containing the names of associates of Jeffrey Epstein are made public.,Legal
2024-01-05,"Alaska Airlines Flight 1282 suffers uncontrolled decompression after an emergency exit door blows out, leading to an emergency landing.",Transportation
2024-01-13,"March on Washington for Gaza takes place amid the Israel–Hamas war, drawing a crowd believed to be as large as 400,000.",Political
2024-01-20,At least 60 people are killed across the country after two weeks of winter storms causing dangerous road conditions and widespread power outages.,Weather
2024-02-08,Special counsel Robert K. Hur recommends no charges against President Biden in the classified documents incident.,Legal
2024-02-09,"Hop-A-Jet Flight 823 crashes on Interstate 75 after suffering a dual engine failure, killing the two pilots.",Transportation
2024-02-13,Secretary of Homeland Security Alejandro Mayorkas is impeached by the House of Representatives.,Political
2024-02-15,US launches six missile-detecting satellites in response to a national security threat related to Russia.,National Security
2024-02-20,"Three passengers from Alaska Airlines Flight 1282 sue Boeing for $1 billion, citing physical injuries and PTSD.",Legal
2024-02-22,"AT&T suffers network outages impacting 71,000 customers, also affecting Verizon and T-Mobile.",Technology
2024-02-23,"Biden administration announces over 500 new sanctions on Russian institutions related to finance, military, and energy.",Political
2024-03-02,US military announces plans to airdrop humanitarian aid into Gaza.,National Security
2024-03-04,"In Trump v. Anderson, the US Supreme Court unanimously rules that states cannot keep presidential candidates off the ballot.",Legal
2024-03-07,President Biden delivers his third State of the Union Address.,Political
2024-03-13,"US deploys a Marine Corps Security Force Regiment platoon to secure the U.S. embassy in Port-au-Prince, Haiti.",National Security
2024-03-21,Richard Slayma receives a kidney from a genetically engineered pig at Massachusetts General Hospital in Boston.,Medical
2024-04-02,"Tornado outbreak affects central Kentucky, southern Ohio, West Virginia, and southern Indiana, causing widespread property damage.",Weather
2024-04-08,A total solar eclipse is viewable in the central and northeastern US.,Astronomical
2024-04-19,"Taylor Swift releases her new double album 'The Tortured Poets Department', breaking records for most-streamed album in a single day.",Entertainment
2024-04-20,"The House passes bills providing $95 billion in military aid to Ukraine, Israel, and Taiwan.",Political
2024-04-24,"Biden signs the Protecting Americans from Foreign Adversary Controlled Applications Act, requiring ByteDance to sell TikTok to an American company.",Political
2024-04-26,"A series of tornadoes hit six states, killing at least five and putting 20 million people on alert.",Weather
2024-05-06,"Severe storms in Oklahoma damage dozens of houses and power lines, killing at least one person in Barnsdall.",Weather
2024-05-17,Severe storms kill seven people in Houston and shut off power for nearly one million buildings in Texas and Louisiana.,Weather
2024-05-30,Trump is found guilty of 34 counts of falsifying business records in his New York hush money trial.,Legal
2024-06-17,The Northeast and Midwest experience heatwaves with heat indexes reaching 105°F.,Weather
2024-06-18,Nvidia surpasses Microsoft as the world's most valuable publicly-traded company after its market cap exceeds $3.34 trillion.,Business
2024-06-27,The first 2024 presidential debate between President Joe Biden and former President Donald Trump is broadcast by CNN in Atlanta.,Political
2024-06-28,"The Supreme Court issues a 6–3 decision in Loper Bright Enterprises v. Raimondo, reducing the power of federal agencies.",Legal
2024-07-01,"In Trump v. United States, the Supreme Court rules that former presidents are entitled to absolute immunity from prosecution for official acts taken while in office.",Legal
2024-07-06,"Maricopa County investigates over 160 suspected heat-related deaths related to ongoing heat waves across Arizona, California, and Oregon.",Weather
2024-07-09,"The 75th NATO summit is held in Washington, D.C.",Political
2024-07-11,At least 11 people are killed in Texas and Louisiana from severe weather caused by Hurricane Beryl.,Weather
2024-07-13,"Trump is shot in an assassination attempt at a campaign rally in Butler, Pennsylvania, receiving minor injuries.",Political
2024-07-21,"Vice President Kamala Harris launches her campaign for president, receiving Biden's support and becoming the presumptive nominee for the Democratic Party.",Political
2024-08-02,"Kamala Harris is formally chosen as the Democratic presidential nominee after securing the support of 2,350 delegates.",Political
2024-08-06,Vice President Harris announces her selection of Governor Tim Walz of Minnesota as her running mate for the 2024 United States presidential election.,Political
